datetime,model_loss,baseline_loss,true_returns,true_vols,model_preds,baseline_preds
2018-06-30,-0.40812714099884034,-9.62005844116211,"[-0.00268837 -0.00425964  0.00179286  0.00152993 -0.00131056  0.00275222
 -0.00181414  0.00322409 -0.00469345  0.00269271 -0.00079453 -0.00144523
 -0.00312149  0.00168201 -0.00448536  0.00013712  0.00018182  0.00559636
 -0.004042    0.00015152]","[4.1156381e-04 4.3222331e-04 2.1497025e-04 2.0892234e-04 2.1287249e-04
 3.1594338e-04 2.4716672e-04 2.7527299e-04 2.9396042e-04 3.5239838e-04
 3.6238509e-04 2.7580035e-04 3.8323726e-04 2.5489688e-04 2.0213929e-04
 1.5356425e-04 8.9300818e-05 2.0159149e-04 1.2565334e-04 1.4378209e-04]","[0.664886 0.664886 0.664886 0.664886 0.664886 0.664886 0.664886 0.664886
 0.664886 0.664886 0.664886 0.664886 0.664886 0.664886 0.664886 0.664886
 0.664886 0.664886 0.664886 0.664886]","[5.4953973e-05 5.7814836e-05 5.7934038e-05 5.7338024e-05 5.7338024e-05
 5.7695630e-05 5.7218822e-05 5.7695630e-05 5.7218822e-05 5.7934038e-05
 5.7218822e-05 5.7576428e-05 5.7695630e-05 5.7814836e-05 5.7338024e-05
 5.7934038e-05 5.7457226e-05 5.7457226e-05 5.6980418e-05 5.7934038e-05]"
2018-07-03,-8.25293254852295,-8.608951568603516,[-0.00816169],[0.00024051],[0.00017987],[5.9006856e-05]
2018-07-04,2.315961754840353,-9.032786825428838,"[ 4.5824194e-04  1.2791790e-03 -4.1435525e-04  2.2243720e-03
 -3.0613365e-03  1.5511564e-03  6.7334101e-03  2.8392501e-04
 -2.4151669e-03  2.1619403e-03  5.1608100e-03  2.4036942e-02
 -2.0175045e-03 -1.5217882e-03 -3.0580445e-03  1.8635087e-03
 -1.1584752e-03  2.8839565e-03 -7.6259348e-05  3.6479600e-04
 -1.4590468e-02 -1.3265299e-03 -3.8209367e-03]","[1.7250539e-04 1.7690947e-04 1.8171575e-04 1.2929557e-04 1.2649437e-04
 1.2630547e-04 2.2243008e-04 1.5684153e-04 2.8011377e-04 1.9215180e-04
 2.3669857e-04 6.8970193e-04 2.9679580e-04 1.4271803e-04 1.4166482e-04
 1.2852388e-04 1.7625169e-04 1.4928103e-04 8.0184727e-05 1.7876647e-04
 3.1050001e-04 2.5007839e-04 3.3990666e-04]","[10.134608  10.134664  10.134623  10.134636  10.134616  10.134661
 10.1346245 10.134576  10.13464   10.1346855 10.134631  10.134588
 10.134347  10.13464   10.134597  10.134638  10.134588  10.134653
 10.134609  10.134655  10.134633  10.134806  10.134661 ]","[6.1390900e-05 6.1390900e-05 6.1271698e-05 6.1390900e-05 6.1271698e-05
 6.1629304e-05 6.1271698e-05 6.0914092e-05 6.1390900e-05 6.1629304e-05
 6.1271698e-05 6.1033294e-05 5.9602869e-05 6.1510102e-05 6.1510102e-05
 6.1629304e-05 6.1271698e-05 6.1510102e-05 6.1152496e-05 6.1390900e-05
 6.1390900e-05 6.2463718e-05 6.1510102e-05]"
2018-07-05,-8.556475379250266,-9.462176756425338,"[-0.00254508  0.00207252 -0.00049544 -0.00075328  0.00209324  0.00209339
  0.00154192  0.00042052 -0.00271617  0.00273726 -0.00524116 -0.00262712
  0.00326314 -0.00299435 -0.00295765 -0.01257099  0.00342236  0.00068368
 -0.00186471  0.00583312 -0.00050342 -0.00065069]","[2.11211678e-04 1.59501898e-04 1.69218547e-04 1.53374305e-04
 1.88195481e-04 1.08019500e-04 2.56645057e-04 1.77442111e-04
 1.82255186e-04 2.01039133e-04 2.26625474e-04 2.38621811e-04
 1.86370424e-04 9.32260809e-05 1.25770312e-04 2.78796972e-04
 1.40236909e-04 1.33994210e-04 1.90902865e-04 1.55915695e-04
 1.17100746e-04 1.08221851e-04]","[0.00017761 0.00017773 0.00017761 0.00017773 0.00017773 0.00017761
 0.00017761 0.00017773 0.00017773 0.00017773 0.00017761 0.00017773
 0.00017773 0.00017761 0.00017773 0.00017773 0.00017784 0.00017761
 0.00017773 0.00017773 0.00017761 0.00017773]","[6.0914092e-05 6.2344516e-05 6.1748506e-05 6.2106112e-05 6.2106112e-05
 6.1748506e-05 6.1748506e-05 6.1867708e-05 6.1986910e-05 6.2344516e-05
 6.1748506e-05 6.2702122e-05 6.2344516e-05 6.1629304e-05 6.2344516e-05
 6.2344516e-05 6.3536536e-05 6.1629304e-05 6.1986910e-05 6.2225314e-05
 6.1390900e-05 6.2106112e-05]"
2018-07-06,-8.809824736221977,-9.490599922511889,"[ 0.00451758 -0.00203031 -0.00066185 -0.00392032 -0.00449971  0.00291524
  0.00277308 -0.00119016  0.00461434 -0.00080896  0.00885216 -0.002251
 -0.00268501  0.00219002 -0.00079097  0.00649509 -0.00577573  0.00051634
  0.00046433  0.00306979 -0.00255851  0.00349277 -0.00059898]","[7.6365563e-05 6.3737723e-05 1.7979922e-04 8.1824357e-05 2.0148000e-04
 2.7934476e-04 1.9131435e-04 1.0718796e-04 1.1978276e-04 1.8754850e-04
 3.9081543e-04 2.1118733e-04 1.0590388e-04 9.6875512e-05 7.3687894e-05
 2.1872470e-04 2.0368416e-04 4.2985183e-05 1.5127820e-04 1.4185306e-04
 1.7664507e-04 1.0950893e-04 7.9136582e-05]","[0.00013553 0.00013553 0.00013553 0.00013553 0.00013553 0.00013553
 0.00013553 0.00013553 0.00013553 0.00013553 0.00013553 0.00013553
 0.00013553 0.00013553 0.00013553 0.00013553 0.00013553 0.00013553
 0.00013553 0.00013553 0.00013553 0.00013553 0.00013553]","[6.1152496e-05 6.0675688e-05 6.1152496e-05 6.1033294e-05 6.1271698e-05
 6.1390900e-05 6.0794890e-05 6.0794890e-05 6.1152496e-05 6.0675688e-05
 6.1033294e-05 6.0318082e-05 6.1152496e-05 6.1271698e-05 6.0914092e-05
 6.1033294e-05 6.0556486e-05 6.1390900e-05 6.1033294e-05 6.1033294e-05
 6.0794890e-05 6.1152496e-05 6.0794890e-05]"
2018-07-07,-8.797454502271568,-9.076283330502717,"[ 0.00291651  0.0014672   0.00047899 -0.00081715 -0.00195994  0.00227233
 -0.00315867  0.00051548  0.00135511 -0.00036898 -0.00294456 -0.00590453
  0.0051838   0.00071464 -0.00106833 -0.00213704  0.00060952 -0.0010176
 -0.00364344  0.0019099   0.0075076   0.02708849 -0.00266183]","[9.51637121e-05 6.19905113e-05 6.50535003e-05 4.38924872e-05
 2.79996293e-05 5.06646647e-05 4.89592276e-05 4.28443491e-05
 6.44976462e-05 4.66942984e-05 1.59798481e-04 2.05557764e-04
 1.16155315e-04 8.66790215e-05 4.91944666e-05 7.55345682e-05
 5.28171076e-05 7.05823913e-05 8.80400839e-05 5.70557640e-05
 1.58872281e-04 8.24141840e-04 3.91408248e-04]","[0.0001018 0.0001018 0.0001018 0.0001018 0.0001018 0.0001018 0.0001018
 0.0001018 0.0001018 0.0001018 0.0001018 0.0001018 0.0001018 0.0001018
 0.0001018 0.0001018 0.0001018 0.0001018 0.0001018 0.0001018 0.0001018
 0.0001018 0.0001018]","[5.4357959e-05 5.3761945e-05 5.3881147e-05 5.4000349e-05 5.4119551e-05
 5.4238757e-05 5.3881147e-05 5.4238757e-05 5.4000349e-05 5.3881147e-05
 5.4119551e-05 5.4238757e-05 5.4477161e-05 5.3642740e-05 5.4000349e-05
 5.4119551e-05 5.4238757e-05 5.4000349e-05 5.4119551e-05 5.4357959e-05
 5.3881147e-05 5.3404336e-05 5.1854695e-05]"
2018-07-08,-0.20754414537678595,-9.755178368609885,"[ 0.00132967 -0.00356708 -0.00027687  0.00282014 -0.00087329  0.00109446
 -0.00129804  0.00152065 -0.00208703  0.00207219 -0.00162917  0.00185618
  0.00132987 -0.00018966 -0.00049062  0.00045357  0.00021486  0.00171276
 -0.0029477   0.0010275   0.00044151 -0.00659704  0.0020005 ]","[2.01688134e-04 1.18766096e-04 4.77736139e-05 1.06327243e-04
 9.52912378e-05 7.58047681e-05 9.49707028e-05 1.13417897e-04
 1.13774309e-04 3.95929128e-05 1.17470365e-04 1.20834557e-04
 2.71444704e-04 8.55295875e-05 6.00096755e-05 1.71358006e-05
 2.46481504e-05 2.60072247e-05 2.57955726e-05 2.23907646e-05
 4.53635294e-05 1.84038276e-04 9.87626991e-05]","[0.81259155 0.8125479  0.8126172  0.8125582  0.8125122  0.81257683
 0.8125532  0.8125973  0.8125345  0.8126055  0.81251794 0.8125994
 0.81252265 0.81254166 0.81255835 0.81256807 0.8125507  0.8125761
 0.81255835 0.8126463  0.8125567  0.81258774 0.812695  ]","[5.3285134e-05 5.3046726e-05 5.3404336e-05 5.3165928e-05 5.2927524e-05
 5.3285134e-05 5.3046726e-05 5.3285134e-05 5.3046726e-05 5.3285134e-05
 5.3046726e-05 5.3285134e-05 5.3046726e-05 5.3046726e-05 5.3165928e-05
 5.3165928e-05 5.3165928e-05 5.3165928e-05 5.3046726e-05 5.3404336e-05
 5.3046726e-05 5.3165928e-05 5.3642740e-05]"
2018-07-09,-1.153813123703003,-9.72127983786843,"[ 0.00020739  0.00093051 -0.00166329  0.00032243  0.00184006  0.00202402
 -0.00043571 -0.00493992 -0.00045002  0.0056859  -0.00283965  0.00348033
 -0.0009254  -0.00271419 -0.00162667  0.00069342  0.00193275 -0.00222111
  0.00489988 -0.00333802 -0.00532871  0.00044689]","[4.95608838e-05 3.97858239e-05 1.25410064e-04 1.86654852e-05
 1.05612860e-04 8.63152891e-05 9.38044541e-05 1.19457676e-04
 3.72229733e-05 9.90851477e-05 1.11743655e-04 8.31599173e-05
 6.50200818e-05 2.03735282e-04 1.54473106e-04 6.39499413e-05
 4.43536665e-05 6.08969458e-05 5.98036277e-05 2.85965449e-04
 4.29580396e-04 1.56146765e-04]","[0.31542382 0.31542382 0.31542382 0.31542382 0.31542382 0.31542382
 0.31542382 0.31542382 0.31542382 0.31542382 0.31542382 0.31542382
 0.31542382 0.31542382 0.31542382 0.31542382 0.31542382 0.31542382
 0.31542382 0.31542382 0.31542382 0.31542382]","[5.1735493e-05 5.1497089e-05 5.1377883e-05 5.1616291e-05 5.1497089e-05
 5.1377883e-05 5.1377883e-05 5.1497089e-05 5.1854695e-05 5.1497089e-05
 5.1020274e-05 5.1735493e-05 5.1258681e-05 5.1616291e-05 5.1735493e-05
 5.1616291e-05 5.1497089e-05 5.1377883e-05 5.1735493e-05 5.1139479e-05
 5.1735493e-05 5.1973901e-05]"
2018-07-10,-8.598927584561435,-8.945396076549184,"[-2.1792948e-03  5.1098660e-04  7.0048636e-04 -3.0873276e-03
 -3.3666373e-03  1.1830189e-03 -2.6815988e-03 -2.1980964e-02
  4.7445432e-03 -1.7189892e-02  1.0630590e-03  2.6300172e-03
 -1.6496135e-03  1.0890815e-03 -4.3461574e-03  1.2073290e-03
  1.2906063e-03  8.4726082e-05  2.3255933e-03 -2.3020597e-03
 -3.6562010e-04  1.3102610e-02]","[1.6044531e-04 1.2531331e-04 8.6487518e-05 7.6066637e-05 4.3789222e-04
 1.2823755e-04 1.9653504e-04 4.8885279e-04 2.5506446e-04 4.6215035e-04
 2.5962465e-04 1.6127892e-04 1.0575800e-04 4.6642879e-05 1.1845612e-04
 9.5676383e-05 3.8378039e-05 3.5642119e-05 6.2784959e-05 1.3152690e-04
 1.5591485e-04 3.4297878e-04]","[0.00012612 0.00012612 0.00012612 0.00012612 0.00012612 0.00012612
 0.00012612 0.00012612 0.00012612 0.00012612 0.00012612 0.00012612
 0.00012612 0.00012612 0.00012612 0.00012612 0.00012612 0.00012612
 0.00012612 0.00012612 0.00012612 0.00012612]","[4.9589835e-05 4.9470633e-05 4.9351427e-05 4.9351427e-05 4.9589835e-05
 4.9589835e-05 4.9351427e-05 4.9470633e-05 5.0305054e-05 4.9232225e-05
 5.0066647e-05 4.9351427e-05 4.9351427e-05 4.9470633e-05 4.9351427e-05
 4.9589835e-05 4.9351427e-05 4.9351427e-05 4.9470633e-05 4.9351427e-05
 4.9470633e-05 4.9470633e-05]"
2018-07-11,-8.928068507801402,-9.823644464666193,"[-0.00057811 -0.00472849  0.00210869 -0.00149155 -0.00425509  0.00594041
  0.00297273 -0.00398453  0.00075816 -0.00071561  0.00037199 -0.00118866
 -0.00050761 -0.00245211  0.000923   -0.00139113  0.00110928  0.00101995
  0.00085703  0.00107614  0.00162223 -0.00214837]","[1.19823933e-04 7.69008329e-05 1.09470122e-04 1.32697474e-04
 1.60139345e-04 1.20088669e-04 9.34623749e-05 1.46540115e-04
 9.95995142e-05 1.18854805e-04 1.08079264e-04 8.20812929e-05
 4.65039157e-05 9.56193835e-05 9.39479942e-05 9.47348890e-05
 1.26670697e-04 8.53402598e-05 1.30410262e-04 1.32273708e-04
 6.51658920e-05 7.78873073e-05]","[0.00012659 0.00012659 0.00012659 0.00012659 0.00012659 0.00012659
 0.00012647 0.00012647 0.00012659 0.00012647 0.00012647 0.00012659
 0.00012659 0.00012659 0.00012659 0.00012647 0.00012659 0.00012647
 0.00012647 0.00012647 0.00012647 0.00012647]","[4.7920985e-05 4.7801783e-05 4.8040190e-05 4.7682581e-05 4.7920985e-05
 4.8040190e-05 4.7563375e-05 4.7682581e-05 4.8040190e-05 4.7801783e-05
 4.7801783e-05 4.7801783e-05 4.7920985e-05 4.7801783e-05 4.7920985e-05
 4.7801783e-05 4.7920985e-05 4.7801783e-05 4.7801783e-05 4.7801783e-05
 4.7801783e-05 4.7801783e-05]"
